Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
SSD,SSDSC2BP480G410,Intel,730 Series 480GB,264,95.1,4304,https://ssd.userbenchmark.com/Intel-730-Series-480GB/Rating/3479,371
SSD,CT1000BX100SSD1,Crucial,BX100 1TB,281,93,1197,https://ssd.userbenchmark.com/SpeedTest/22670/CT1000BX100SSD1,371
SSD,VTR150-25SAT3-480G,OCZ,Vector 150 480GB,267,94.7,349,https://ssd.userbenchmark.com/SpeedTest/7037/OCZ-VECTOR150,369
SSD,WDS200T3X0C,WD,Black SN750 2TB (2019),41,270,2147,https://ssd.userbenchmark.com/SpeedTest/764887/WDS200T3X0C-00SJG0,366
SSD,MZ-V8P2T0B,Samsung,SSD 980 PRO 2TB,5,422,1871,https://ssd.userbenchmark.com/SpeedTest/1454302/Samsung-SSD-980-PRO-2TB,365
SSD,SSDSC2BW240H601,Intel,535 Series 240GB,495,78.7,6845,https://ssd.userbenchmark.com/Intel-535-Series-240GB/Rating/3500,364
SSD,SSDSC2BW120H601,Intel,535 Series 120GB,593,73,5001,https://ssd.userbenchmark.com/SpeedTest/28259/INTEL-SSDSC2BW120H6,361
SSD,RADEON-R7SSD-480G,OCZ,AMD Radeon R7 480GB,287,92.3,707,https://ssd.userbenchmark.com/OCZ-AMD-Radeon-R7-480GB/Rating/3507,360
SSD,TS512GMTS600,Transcend,MTS600 M.2 512GB,424,83.2,114,https://ssd.userbenchmark.com/SpeedTest/13460/TS512GMTS600,359
SSD,SB-ROCKET-NVMe4-2TB,Sabrent,Rocket 4 2TB,10,372,4192,https://ssd.userbenchmark.com/SpeedTest/847932/Sabrent-ROCKET-40-2TB,350
SSD,TRN100-25SAT3-960G,OCZ,Trion 100 960GB,635,70.5,910,https://ssd.userbenchmark.com/SpeedTest/34219/OCZ-TRION100,350
SSD,VTR1-25SAT3-512G,OCZ,Vector 512GB,277,93.9,307,https://ssd.userbenchmark.com/SpeedTest/1810/OCZ-VECTOR,344
SSD,MZ-77Q4T0BW,Samsung,SSD 870 QVO 4TB,213,109,1081,https://ssd.userbenchmark.com/SpeedTest/1243154/Samsung-SSD-870-QVO-4TB,343
SSD,MZ-7TE250BW,Samsung,SSD 840 EVO 250GB,263,95.1,185457,https://ssd.userbenchmark.com/Samsung-840-EVO-250GB/Rating/1594,343
SSD,SH100S3/240G,Kingston,HyperX 240GB,502,78.2,347,https://ssd.userbenchmark.com/Kingston-HyperX-240GB/Rating/1327,341
