Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
HDD,WD60EFRX,WD,Red 6TB (2014),102,76.7,8834,https://hdd.userbenchmark.com/WD-Red-6TB-2014/Rating/2663,200
HDD,WD30EZRX,WD,Green 3TB (2011),169,64.7,87491,https://hdd.userbenchmark.com/WD-Green-3TB-2011/Rating/1415,200
HDD,WD20EARX,WD,Green 2TB (2011),301,50.7,169713,https://hdd.userbenchmark.com/WD-Green-2TB-2011/Rating/1850,200
HDD,,Hitachi,HTS541515A9E630 1.5TB,444,43.4,2025,https://hdd.userbenchmark.com/SpeedTest/9932/HGST-HTS541515A9E630,200
HDD,WD15EADS,WD,Green 1.5TB (2009),446,43.2,14558,https://hdd.userbenchmark.com/SpeedTest/2529/WDC-WD15EADS-22P8B0,200
HDD,0S03835,HGST,Deskstar NAS 5TB,50,85.6,544,https://hdd.userbenchmark.com/SpeedTest/36844/HGST-HDN726050ALE610,199
HDD,,Seagate,ST3250310NS 250GB,379,46.2,1127,https://hdd.userbenchmark.com/SpeedTest/1947/ST3250310NS,199
HDD,,Hitachi,HUA721010KLA330 1TB,535,38.7,9753,https://hdd.userbenchmark.com/SpeedTest/3043/Hitachi-HUA721010KLA330,199
HDD,ST2000LX001,Seagate,FireCuda 2.5 2TB,373,46.3,56757,https://hdd.userbenchmark.com/SpeedTest/192181/ST2000LX001-1RG174,195
HDD,ST3000NC002,Seagate,Constellation CS 3TB,32,89.3,584,https://hdd.userbenchmark.com/SpeedTest/5929/ST3000NC002-1DY166,193
HDD,ST2000NC001,Seagate,Constellation CS 2TB,46,86.2,516,https://hdd.userbenchmark.com/SpeedTest/10959/ST2000NC001-1DY164,193
HDD,,Hitachi,HUA723030ALA640 3TB,127,70.8,8595,https://hdd.userbenchmark.com/SpeedTest/5187/Hitachi-HUA723030ALA640,192
HDD,ST3000VX000,Seagate,Video SV35.6 Series 3TB,19,91.7,4159,https://hdd.userbenchmark.com/SpeedTest/4903/ST3000VX000-9YW166,190
HDD,,Hitachi,HDS5C3020BLE630 2TB,170,64.4,3463,https://hdd.userbenchmark.com/SpeedTest/7375/Hitachi-HDS5C3020BLE630,190
HDD,,Seagate,ST31000524NS 1TB,178,62.7,3110,https://hdd.userbenchmark.com/SpeedTest/9641/ST31000524NS,189
HDD,WD4000FYYZ,WD,Re 4TB (2012),88,79.3,3546,https://hdd.userbenchmark.com/SpeedTest/1815/WDC-WD4000FYYZ-01UL1B0,188
HDD,,Seagate,ST31000340NS 1TB,339,48.2,6356,https://hdd.userbenchmark.com/SpeedTest/1232/ST31000340NS,188
HDD,WD60PURZ,WD,Purple Surveillance 6TB (2017),79,80.1,1029,https://hdd.userbenchmark.com/SpeedTest/342114/WDC-WD60PURZ-85ZUFY1,185
HDD,,Seagate,ST32000542AS 2TB,346,47.7,18438,https://hdd.userbenchmark.com/SpeedTest/696/ST32000542AS,185
HDD,,Samsung,HD153WI 1.5TB,357,47.1,926,https://hdd.userbenchmark.com/SpeedTest/1489/SAMSUNG-HD153WI,183
HDD,,Seagate,ST3750630AS 750GB,397,45.3,1922,https://hdd.userbenchmark.com/SpeedTest/3071/ST3750630AS,181
HDD,WD2000FYYZ,WD,Re 2TB (2012),118,72.5,4787,https://hdd.userbenchmark.com/SpeedTest/1402/WDC-WD2000FYYZ-5,180
HDD,ST2000DX001,Seagate,Desktop SSHD 2TB,66,82.4,67767,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783,179
HDD,STCL2000400,Seagate,Desktop SSHD 2TB,66,82.4,67767,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783,179
HDD,HUS724020ALA640,Hitachi,UltraStar 7K4000 2TB,98,77.2,1895,https://hdd.userbenchmark.com/SpeedTest/10357/HGST-HUS724020ALA640,179
HDD,WD3001FAEX,WD,Black 3TB (2012),104,76.2,1110,https://hdd.userbenchmark.com/SpeedTest/8039/WDC-WD3001FAEX-00MJRA0,178
HDD,WD60EFAX,WD,Red 6TB (2019),82,79.7,227,https://hdd.userbenchmark.com/SpeedTest/748440/WDC-WD60EFAX-68SHWN0,175
HDD,,Seagate,ST33000650NS 3TB,120,71.8,2115,https://hdd.userbenchmark.com/SpeedTest/9344/ST33000650NS,173
HDD,HDWE160XZSTA,Toshiba,X300 6TB,48,86,4165,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594,171
HDD,HDWE160EZSTA,Toshiba,X300 6TB,48,86,4165,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594,171
HDD,,Hitachi,HDS723030BLE640 3TB,80,80,688,https://hdd.userbenchmark.com/SpeedTest/4601/Hitachi-HDS723030BLE640,168
HDD,WD3000HLFS,WD,VelociRaptor 300GB,242,56.2,9104,https://hdd.userbenchmark.com/SpeedTest/1307/WDC-WD3000HLFS-01G6U1,168
HDD,,Seagate,ST9750423AS 750GB,552,37.7,2675,https://hdd.userbenchmark.com/SpeedTest/935/ST9750423AS,168
HDD,,Seagate,ST1000LM002-9VQ14L 1TB,575,35.8,266,https://hdd.userbenchmark.com/SpeedTest/9979/ST1000LM002-9VQ14L,168
HDD,WD20EARS,WD,Green 2TB (2010),324,49.1,4888,https://hdd.userbenchmark.com/SpeedTest/2609/WDC-WD20EARS-00M,167
HDD,,Seagate,ST3500320NS 500GB,352,47.4,3663,https://hdd.userbenchmark.com/SpeedTest/507/ST3500320NS,167
HDD,HDWE150XZSTA,Toshiba,X300 5TB,38,88.4,10202,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593,165
HDD,HDWE150EZSTA,Toshiba,X300 5TB,38,88.4,10202,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593,165
HDD,,Seagate,ST3640623AS 640GB,283,52,730,https://hdd.userbenchmark.com/SpeedTest/5431/ST3640623AS,165
HDD,,Samsung,MZMPC064HBDR-000 1TB,387,45.8,10,https://hdd.userbenchmark.com/SpeedTest/1769/SAMSUNG-MZMPC064HBDR-000,165
HDD,,Seagate,ST3320620NS 320GB,604,34.7,841,https://hdd.userbenchmark.com/SpeedTest/5481/ST3320620NS,163
HDD,HDS721010CLA332,Hitachi,Deskstar 7K1000.C 1TB,204,58.6,77024,https://hdd.userbenchmark.com/SpeedTest/1129/Hitachi-HDS721010CLA332,162
HDD,,Hitachi,HDS72101 1TB,218,57.8,1287,https://hdd.userbenchmark.com/SpeedTest/3573/Hitachi-HDS72101,162
HDD,,Hitachi,HDS721010CLA 1TB,296,50.9,1223,https://hdd.userbenchmark.com/SpeedTest/1227/Hitachi-HDS721010CLA,162
HDD,,WD,WD3000GLFS-01F8U0 300GB,240,56.2,3806,https://hdd.userbenchmark.com/SpeedTest/1583/WDC-WD3000GLFS-01F8U0,161
HDD,WD4000F9YZ,WD,Se 4TB,76,81.2,1892,https://hdd.userbenchmark.com/WD-Se-4TB/Rating/1823,160
HDD,WD2003FYYS,WD,Re 2TB,140,68.2,9767,https://hdd.userbenchmark.com/SpeedTest/3985/WDC-WD2003FYYS-02W0B1,160
HDD,HD204UI,Samsung,Spinpoint F4 2TB,229,56.9,37559,https://hdd.userbenchmark.com/SpeedTest/324/SAMSUNG-HD204UI,160
HDD,,WD,WD6000BLHX-01V7BV0 600GB,145,67.8,239,https://hdd.userbenchmark.com/SpeedTest/6689/WDC-WD6000BLHX-01V7BV0,159
HDD,WD10SPCX,WD,Blue 2.5 1TB (2013),409,44.9,48634,https://hdd.userbenchmark.com/SpeedTest/3227/WDC-WD10SPCX-22HWST0,159
HDD,ST2000VX000,Seagate,Video SV35.6 Series 2TB,26,89.6,9117,https://hdd.userbenchmark.com/Seagate-Video-SV356-Series-2TB/Rating/1816,158
