Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,BX80646E31230V3,Intel,Xeon E3-1230 v3,246,74.3,6359,https://cpu.userbenchmark.com/SpeedTest/2171/IntelR-XeonR-CPU-E3-1230-v3---330GHz,60
CPU,,Intel,Xeon E5620,504,60.2,2544,https://cpu.userbenchmark.com/SpeedTest/6971/IntelR-XeonR-CPU-----------E5620----240GHz,60
CPU,,Intel,Core i5-4460S,357,68.3,8664,https://cpu.userbenchmark.com/SpeedTest/14679/IntelR-CoreTM-i5-4460S-CPU---290GHz,59
CPU,,Intel,Core i5-2405S,431,64.4,160,https://cpu.userbenchmark.com/SpeedTest/10048/IntelR-CoreTM-i5-2405S-CPU---250GHz,59
CPU,,AMD,A10-6790K APU (2013 D.Ri),542,58.2,1897,https://cpu.userbenchmark.com/SpeedTest/13499/AMD-A10-6790K-APU-with-Radeontm-HD-Graphics,59
CPU,,Intel,Core i7-2675QM,549,57.7,918,https://cpu.userbenchmark.com/SpeedTest/597/IntelR-CoreTM-i7-2675QM-CPU---220GHz,59
CPU,,Intel,Core i7-3520M,582,56.2,17666,https://cpu.userbenchmark.com/SpeedTest/50/IntelR-CoreTM-i7-3520M-CPU---290GHz,59
CPU,,Intel,Core i5-1035G4,483,61.6,8438,https://cpu.userbenchmark.com/SpeedTest/921077/IntelR-CoreTM-i5-1035G4-CPU---110GHz,58
CPU,,Intel,Core i7-2635QM,553,57.6,304,https://cpu.userbenchmark.com/SpeedTest/12770/IntelR-CoreTM-i7-2635QM-CPU---200GHz,57
CPU,,Intel,Xeon E5520,522,59,1245,https://cpu.userbenchmark.com/SpeedTest/5884/IntelR-XeonR-CPU-----------E5520----227GHz,55
CPU,BX80701G5900,Intel,Celeron G5900,574,56.6,165,https://cpu.userbenchmark.com/SpeedTest/1187562/IntelR-CeleronR-G5900-CPU---340GHz,54
CPU,,Intel,Core i5-4310U,686,52.3,11289,https://cpu.userbenchmark.com/SpeedTest/12941/IntelR-CoreTM-i5-4310U-CPU---200GHz,54
